Formulation name,Procedure
Betamethasone and Salicylic Acid Lotion,"1. Charge about half of item 7 into a suitable vessel and slowly add item 4 with vigorous mixing. 2. Use item 7 to rinse the container for item 4 and add rinsings to the mixing vessel. 3. In 10% of the amount of item 6, add and dissolve item 1 in a separate vessel and then add an additional 20% of item 6 and mix well until completely dissolved. 4. Add 10% of item 7 in a separate vessel and add and dissolve item 5 into it. 5. Add 10% of item 7 in a separate vessel and add and dissolve item 3 into it. 6. Add 20% of item 7 in a separate vessel and add and dissolve item 2 into it. 7. Add50% of item 6 to step 4 and mix slowly for 15 minutes. Add to this vessel step 3 and step 5 and mix vigorously. 8. Use item 7 to rinse all vessels and add rinsings. 9. Check pH to 4.8 to 5.3 and adjust if necessary. 10. Add step 1 to this and mix. 11. Fill in appropriate containers."
Betamethasone Dipropionate Ointment,"1. Betamethasone dipropionate and citric acid are dissolved in the triacetin with mixing and heat to 35◦C if needed. 2. Microcrystalline wax, propylene glycol stearate, and mineral oil are melted together by heating to 75◦ to 85◦C while stirring to make the oleaginous phase. 3. After cooling the oleaginous phase to approximately 55◦C, the triacetin solution is added while mixing to make a homogenous dispersion. Mixing should be of sufficient intensity to disperse the triacetin solution finely and uniformly. 4. Mixing is continued while cooling at room temperature."
Betamethasone Opthalmic Ointment,"1. Load items 2 to 5 in a melting vessel. Heat to 145◦C and keep it at this temperature for 45 minutes. 2. Allow to cool to room temperature. 3. In a separate vessel, dissolve item 1 in 200 mL of water for injection and add to step 1 under aseptic condition. 4. Fill and sterilize in tubes."
Betamethasone Valerate and Cinchocaine Ointment,"1. Charge items 3, 4, 5, and 7 in a melting vessel and heat to 85◦C. Melt to a clear solution and cool down to 65◦C. Transfer to Becomix. 2. Mix in Becomix at 65◦CC under vacuum. Cool down to 50◦C. 3. Add items 1 and 2 in a small portion of the melt from step 2 in a separate vessel and homogenize and then add to step 3. 4. Add item 6 at 30◦C and mix for 10 minutes. 5. Transfer to storage vessel and fill."
Betamethasone Valerate Ointment (2),"1. Melt item 3 in a fat-melting vessel at 60◦C, add items 4 and 5, and mix until clear. 2. Transfer to Becomix at 60◦C. Mix at 9 rpm under vacuum of 0.4 to 0.6 bar. Cool to 40◦C to 45◦C. 3. Add items 1, 2, and 6 to a stainless steel container and homogenize for 3 minutes. Transfer slurry to step 2. 4. Mix under vacuum at 40◦C to 45◦C. 5. Transfer to storage vessel and fill."
Biscarboxychromonyloxy Propanol Ointment,"1. The disodium salt of 1,3-bis(2-carboxychromon-5-yloxy) propan-2-ol is added slowly in small portions, with vigorous mixing, to a small portion of the preheated and sterilized components of the ointment base at 90◦C. 2. When the addition is complete, mixing is continued for a further 15 minutes and then the concentrated dispersion is sterilized by heating at 150◦C for 1 hour. 3. The concentrated dispersion is then added to a homogenizer heated at 80◦C to 100◦C and the remaining components of the ointment basis are added slowly with continuous blending. 4. When this addition is complete, the molten ointment is blended for a further 15 minutes and then cooled to a temperature of 58◦C to 62◦C. 5. The ointment is then filled in presterilized eye ointment tubes, which are crimped and allowed to cool to room temperature."
Budesonide Cream,"1. Melt white soft paraffin, stearyl alcohol, and polyoxyl 40 stearate in the fat-melting vessel at 70◦C to 75◦C. 2. Heat the purified water in the manufacturing vessel to a temperature of 80◦C to 90◦C. Disperse Carbopol 934 in the heated water. Homogenize the dispersion to obtain clear gel. 3. Dissolve item 6, sodium methyl paraben, sodium propyl paraben, and sodium hydroxide in purified water. Transfer this solution to the clear gel from step 2 in the manufacturing vessel and homogenize well. 4. Transfer the fat phase (70–75◦C) into the manufacturing vessel containing aqueous phase (70–75◦C) while mixing. Homogenize under vacuum for few minutes. 5. Disperse budesonide with liquid paraffin in a stainless steel container at 40◦C to 45◦C and transfer this dispersion to the manufacturing vessel from step 4 at temperature 40◦C to 45◦C; mix and homogenize under vacuum to obtain a smooth, homogeneous cream and the stated amount of budesonide per 100 g. 6. Cool the cream to 25◦Cto30◦Cwhile stirring continuously."
Budesonide Ointment,"1. Melt hard paraffin, white wax, and hydrogenated castor oil in the fat-melting vessel at 100◦Cand maintain this temperature for 20 minutes. Then transfer this melted mass to the manufacturing vessel preheated to 85◦C through 0.150 mm. Cool to 33◦C while stirring. 2. Disperse budesonide with liquid paraffin at 33◦C; use homogenizer to get homogeneous suspension. 3. Transfer the dispersion from step 2 to the ointment base from step 1 in the manufacturing vessel while stirring. Homogenize well to obtain a homogeneous ointment containing the stated amount of budesonide per 100 g ointment. 4. Filling in the tube is performed in an aseptic area at 33◦C."
Butesin Picrate and Metaphen Ointment,"1. Melt lanolin in vacuum flask and heat to 45◦C to 60◦C. Use sufficient acetone to completely dissolve metaphen chloride. Add metaphen solution to melted lanolin and mix thoroughly. Use vacuum to remove all acetone. 2. Dissolve borax and potassium chloride in the purified water at 85◦C to 90◦C. 3. Melt beeswax, ceresin wax, and mineral oil and strain into ointment mixing tub at 95◦C. 4. Add prepared base (step 1) to melted oil–wax mixture (step 4). 5. Add borax–potassium chloride solution (step 2) to oil– wax mixture with constant stirring. 6. Mix for 1 hour. 7. Dissolve Butesin picrate in warm (50◦C) cellosolve and filter. Hold solution at 50◦C for use in following step. 8. Adjust temperature of mass from step 5 to 50◦C (this temperature is important). 9. Add Butesin picrate solution (at 50◦C) to mass (at 50◦C), with constant stirring. 10. Mix for several hours. Circulate cold water in jacket overnight. 11. Mill to smooth ointment and fill suitable containers."
Butesin Picrate Ointment,"1. Charge purified water into a suitable steam tank and begin heating to 85◦C to 90◦C. 2. Add borax and potassium chloride and mix until dissolved (at 85–90◦C). 3. Add parabens to above solution and mix for at least 15 minutes (at 85–90◦C) or until dissolution. 4. Melt lanolin, beeswax, ceresin wax, and mineral oil into a suitable equipment. Heat mixture to 90◦C to 95◦C. Mix until uniform. 5. Filter the melted waxes from step 4 through a 74-m aperture SS screen into a suitable mixing tank. 6. Heat waxes to 90◦C to 95◦C while mixing slowly. 7. Filter approximately 6.3 mL of borax–potassium– paraben solution (at 85–90◦C) from step 2 slowly through a 74-m aperture SS screen into the wax–oil mixture from step 5. Caution: Slow the addition of water solution if the product shows tendency to bubble over the side of the equipment. 8. While mixing, slowly pass the remaining borax– potassium–paraben solution (at 85–90◦C) from step 2 through a 74-m aperture SS screen into the wax–oil mixture from step 5. See caution above. 9. If necessary, adjust batch temperature to 85◦C to 90◦ C and maintain temperature of batch at 85◦C to 90◦C while mixing for 60 minutes (range 60–75 minutes). 10. Add Neobee M-5 oil to a clean suitable SS container and start heating to 72◦C (70–74◦C). Add and dissolve the butyl aminobenzoate picrate while mixing and maintaining temperature at 72◦C (70–74◦C). 11. Reduce main batch temperature to 70◦C (68–72◦C) while continuing mixing slowly. 12. Filter Neobee M-5 oil–butyl picrate solution at 72◦C (70–74◦C) through a 74-m aperture SS screen into the main batch, mixing and maintaining temperature at 70◦C (68–72◦C). 13. Continue mixing and maintain main batch temperature at 70◦C (68–72◦C) for 15 to 30 minutes. 14. While mixing slowly cool the main batch to 40◦C to 45◦C. Maintain 40◦C to 45◦C temperature and continue mixing for at least 10 minutes. Note: Use 35◦C (30–40◦C) water for cooling. Do not force cool with cold water. 15. Set cooling water to 20◦C (range 18–25◦C) and continue cooling batch to 25◦C to 30◦C while mixing. When batch reaches 25◦C to 30◦C, stop mixing. The product is ready for milling. Note: The cooling water temperature must not drop below 18◦C. 16. Pump product to roller mill and mill at high speed to a smooth uniform consistency. 17. Collect product in suitable bulk containers. 18. Fill in suitable containers. Theoretical tube fill weight: 30 g, minimum 28.35 g. If product does not flow freely, heat the water in hopper jacket to a maximum of 40◦C."
Calamine and Diphenhydramine Hydrochloride Lotion,"1. Hydrate item 6 in item 5 and disperse item 7 in the suspension. 2. Mix the ferric oxides in items 10 and 11, homogenize, and add to step 1. 3. Dissolve item 2 in item 15 at 75◦C, dissolve camphor and perfume in alcohol, and add to step 2. 4. Add item 12 and blend well. 5. QS to volume with item 15."
Calcipotriene Cream,"1. Add and dissolve item 1 in item 2. 2. Add to this solution item 3 and item 4. 3. Heat the mixture to liquefy at 70◦C. 4. In a separate vessel, heat item 5 to 80◦C and add to step 3. 5. Mix well and then homogenize. 6. Cool and fill."
Carbamazepine Cream,"1. An oil-in-water emulsion is prepared to form an elegant cream. Carbamazepine in pure powder form is dissolved in propylene glycol (e.g., up to approximately 95%). Alternatives for the aqueous phase include alcohol, such as ethanol or isopropanol, with a thickener added, for example, carbomer 934 or 940. 2. The oil phase preferably includes mineral oil, petrolatum, cetyl alcohol, or stearyl alcohol. Emulsifiers such as polysorbate 80, sorbitan monostearate, or others known in the art may be used. Buffering agents, antioxidants, and chelating agents may be added to improve the characteristics of the formulation."
Carbamazepine Gel,X
Carbamazepine Ointment,1. Micronize carbamazepine to provide particles with a size distribution primarily below 10 m. 2. Add item 1 to mineral oil to form a finely dispersed suspension Homogenize. 3. Add and mix item 3 and homogenize again.
Castor Oil Ointment,This is an enzymatic wound debrider. 1. The aluminum/magnesium hydroxide stearate is dispersed in the castor oil. 2. The hydrogenated castor oil is added while mixing with a high-shear mixer. 3. Mixing is continued until a semisolid forms. 4. The remaining ingredients are then blended to the semisolid until homogeneous mixing appears.
Cefaclor and Benzoyl Peroxide Gel,"1. To a first container, add the benzoyl peroxide and the gel carrier or vehicle ingredients (approximately 5 g of benzoyl peroxide and approximately 89 g of gel carrier or vehicle). 2. To a second container, add powdered cefaclor (approximately 3 g of cefaclor) and dissolve in item 4 and add to step 1. 3. Adjust pH using citric acid."
Cefaclor and Benzoyl Peroxide Lotion,X
Cetrimonium Bromide Cream,1. Heat oil and water phases separately to 60◦C to 65◦C. 2. Add water phase to oil phase while stirring. Stir to cool.
Ciclopirox Nail Varnish,"1. All items are mixed to a uniform mixture. Pigments may be added to color the varnish. 2. A thixotropic paste is prepared by slowly stirring 10 parts of an organically modified montmorillonite (e.g., bentone 27) into 80 parts toluene and subsequently adding 8 parts wetting agent (e.g., anti-terra-U) and 2 parts methanol. A clear varnish is also prepared by dissolving 22 parts butanol-moist collodion cotton (e.g., type E 510) and 8 parts toluene sulfonamide resin (e.g., santoliteMS 80) in a mixture of 3 parts dibutyl phthalate, 20 parts ethyl acetate, 10 parts butyl acetate, 7 parts ethyl alcohol, and 30 parts toluene; 40 partsDCROT No. 7 calcium varnish (e.g., color pigment C 19021) and 60 parts dibutyl phthalate are also processed to give a color paste with a particle size of less than 1 m. 3. To prepare the pigmented nail varnish, 12 parts thixotropic paste and 0.8 parts antisettling agent (e.g.,MPA2000 X) are dispersed in 83.7 parts clear varnish, during which operation a temperature of at least 38◦Cis to be reached; 1 part 1- hydroxy-4-methyl-6-(2,4,4-trimethylpentyl)-2-pyridone is then dissolved in the thixotropic clear varnish and 2.5 parts color paste was stirred in. The finished nail varnish is filtered through a 70-m sieve."
Clindamycin Gel,"The viscosity of this composition is approximately 1000 cP. 1. Weigh approximately 90% of the purified water into a stainless steel kettle. 2. Add the propylene glycol 400 and polyethylene glycol. Stir with a propeller mixer. 3. At room temperature, add methyl paraben to step 1 with continued stirring. Mix until dissolved. 4. While continuing to mix, add clindamycin phosphate to step 2. Mix until dissolved. 5. While continuing to mix, add Carbopol 941 slowly to step above. Avoiding clumping. 6. Mix vigorously at room temperature until a uniform and lump-free dispersion is achieved. 7. While mixing, add sufficient sodium hydroxide, 10% solution, to achieve a pH of 5.3 to 5.7. Mix until uniform. 8. Add the remaining water to make 100% and mix until uniform. Please note that a commercial preparation contains an additional component, allantoin."
Clobetasol Propionate Cream,"1. Aqueous phase a. Heat item 12 to 90◦C in mixer. Bring down the temperature to 60◦C. Dissolve all ingredients to a clear solution. Maintain temperature at 60◦C. b. Filter through a polyester cloth. Check the weight. Clean the manufacturing vessel with item 12. Adjust the weight with item 12, if required. Record the quantity of extra item 12. c. Transfer again to manufacturing vessel. Maintain temperature at 60◦C. 2. Oil phase a. Melt items 5 to 9 in melting vessel at 70◦C to 75◦C while stirring. Cool to 60◦C. Maintain temperature at 60◦C. 3. Dispersed phase a. Transfer the oil phase to aqueous phase in the manufacturing vessel through mesh by vacuum while stirring at manual mode 10 rpm, temperature 60◦C.Mix at 10 rpm for 10 minutes at 60◦C. Homogenize at high speed under vacuum 0.4 bar for 5 minutes at temperature 60◦C. Cool down the temperature to 50◦C while mixing at 10 rpm. 4. Drug phase a. Mix item 1 in item 10 in a water bath at 50◦C b. Cool to 30◦C while mixing at 10 rpm, auto mode under vacuum 0.4 bar, mixing time 20 minutes until a clear solution is obtained. A homogenizer may be used. c. Add to dispersed phase at step 3.2. Rinse with item 11 and add to dispersed phase at step 3a. Mix and homogenize under vacuum 0.4 bar for 5 minutes, high speed, 10 rpm, temperature 50◦C. d. Unload the cream in stainless steel drum and fill."
Clobetasol Propionate Ointment Gel,"1. Melt items 2 and 3 in a fat-melting vessel at temperature 75◦C while mixing. 2. Start heating mixer vessel to 75◦C. Transfer molten items 2 and 3 to mixer through stainless steel mesh under vacuum 0.4 to 0.6 bar. Start mixer at 10 rpm manual mode. 3. Cool down to 50◦C. 4. In a water bath (temperature 60◦C), dissolve item 1 in item 4 using homogenizer for 5 minutes. Add this to mixer with stirring. 5. Rinse with item 5 and add to mixer at temperature 50◦C. 6. Start homogenizer under vacuum 0.4 to 0.6 bar while stirring at 10 rpm high speed for 10 minutes. 7. Cool down the temperature to 30◦C, 10 rpm, auto mode, vacuum 0.4 to 0.6 bar. 8. Transfer the ointment to a stainless steel container. Fill."
Clotrimazole Lotion,"1. Heat 75% of the water to 70◦C in a suitable vessel. Add the monobasic sodium phosphate monohydrate, anhydrous dibasic sodium phosphate, propylene glycol, and benzyl alcohol to the vessel with agitation, maintaining the temperature at 70◦C. 2. In a separate vessel, melt the petrolatum and heat to 70◦C. 3. Add the mineral oil and mix. Add the cetearyl alcohol and 95% of the ceteth-20. Mix and maintain at 70◦C. 4. Combine the contents of the two vessels with agitation, maintaining at 70◦C. 5. Cool to 38◦C with agitation. 6. In a separate vessel, dissolve the remaining ceteth-20 in the remaining water at 65◦C with agitation. 7. Cool to room temperature and slurry the clotrimazole with vigorous agitation until smooth uniform slurry is obtained. 8. Add the slurry to the previous emulsion mixture and agitate while cooling to room temperature."
Clotrimazole Vaginal Cream,"1. Heat 75% of the water to 70◦C in a suitable vessel. Add the monobasic sodium phosphate monohydrate, anhydrous dibasic sodium phosphate, propylene glycol, and benzyl alcohol to the vessel with agitation, maintaining the temperature at 70◦C. 2. In a separate vessel, melt the petrolatum and heat to 70◦C. 3. Add the mineral oil and mix. Add the cetearyl alcohol and 95% of the ceteth-20. Mix and maintain at 70◦C. 4. Combine the contents of the two vessels with agitation, maintaining at 70◦C. 5. Cool to 38◦C with agitation. 6. In a separate vessel, dissolve the remaining ceteth-20 in the remaining water at 65◦C with agitation. 7. Cool to room temperature and slurry the clotrimazole with vigorous agitation until smooth uniform slurry is obtained. 8. Add the slurry to the previous emulsion mixture and agitate while cooling to room temperature."
Clotrimazole and Clindamycin Cream,1. One application unit is equivalent to 5 g. This comprises 100 mg clotrimazole and 20 mg clindamycin. 2. Add and dissolve items 1 and 2 in items 7 and 8 in a blender. 3. Add and dissolve remaining items in a separate blender and heat to 40◦C. 4. Add into step 2 with vigorous mixing to form a cream base.
Clotrimazole and Clindamycin Suppositories,1. Dissolve items 1 and 2 in item 5. 2. Heat item 4 in item 6 in a separate vessel and add item 3. 3. Mix well and add to step 1. 4. Fill suppository 2 g each.
Clotrimazole and Clindamycin Suppositories (2),1. Add and mix all ingredients. 2. Heat to 70◦C and mix well. 3. Cool to 40◦C and fill.
DBcAMP Ointment,"1. In a glass-lined melting vessel, charge 90% of item 3 and item 2 and melt at 70◦C to 80◦C. 2. Transfer to a homogenizer and cool to 50◦C. 3. Prepare a dispersion of item 1 in balance of item 3 in a separate vessel and add to step 2. 4. Rinse the container with item 2 and add rinsings. 5. Mix at 50◦C. Cool and fill."
Dexpanthenol Cream,"1. Charge items 2 to 5 in a melting vessel and heat to 70◦C. 2. Charge portion of item 13 (at 70◦C), item1, and item9 and heat to 70◦C and mix for 10 minutes. 3. In a separate container add and dissolve items 7 and 8 in item 6 at 70◦C and add to step 2. 4. Add step 1 into step 3. Mix under vacuum and at 70◦C for 20 minutes. 5. Cool to 35◦C to 40◦C and add item 10. Mix again under vacuum. 6. Add items 11 and 12 and mix (without vacuum) and cool down to 25◦C. 7. Transfer to storage vessel and fill."
Diclofenac Diethylamine Gel,"1. Charge 90% of item 11 in a mixing vessel, heat to 80◦C, stir to produce vortex, and add item 2 to disperse after passing through 1-mm sieve. Mix for 5 minutes, avoiding foam. 2. Transfer step 1 into Becomix and maintain temperature at 70◦C. 3. Charge items 5 to 7 in a separate vessel, melt at 70◦C, transfer to step 2. 4. Mix at speed II under vacuum of 0.4 to 0.6 bar for 5 minutes at 10 rpm. 5. Cool down to 30◦C. 6. Add and dissolve item 8 in item 11 separately and then add to step 5 and mix for 10 minutes. 7. Dissolve item 1 in items 3 and 4 separately and transfer to step 6 through a cloth filter. Mix for 20 minutes. 8. Homogenize at speed I for 5 minutes under vacuum at 10 rpm. 9. Add perfumes and mix for 5 minutes. 10. Fill in appropriate containers."
Diclofenac Diethylammonium Gel,"1. Place water purified and alcohol in a 316 grade stainless steel mixing tank. 2. Add menthol crystals to the alcohol–water mixture. Mix for 5 minutes or until completely dissolved. 3. Add diclofenac diethylammonium to the mixing tank.Mix for 10 minutes or until completely dissolved. 4. While mixing, sprinkle in carbomer. Continue mixing slowly at intervals for 1 to 2 hours or until carbomer swells completely in the hydroalcoholic solution. 5. Add trolamine and mix for 10 minutes or until gel forms. 6. Fill into suitable lined collapsible aluminum tube."
Diclofenac Sodium Suppositories,1. Load items 2 to 4 in the fat-melting vessel and heat to 55◦C. 2. Transfer to a mixing vessel through filter sieves. Set the temperature to 50◦C. 3. Add item 1 and 5 to step 2. Mix at 10 rpm and homogenize at speed I for 15 minutes at 0.6 bar vacuum. 4. Cool down to 50◦C to 55◦C. 5. Transfer into storage vessel and set temperature at 50◦C. 6. Fill 900 mg in a suppository mold.
Diclofenac Sodium Suppositories (2),1. Load items 2 to 4 in the fat-melting vessel and heat to 55◦C. 2. Transfer to a Becomix vessel through filter sieves. Set the temperature to 50◦C. 3. Add items 1 and 5 to step 2.Mix at 10 rpm and homogenize at speed I for 15 minutes at 0.6 bar vacuum. 4. Cool down to 50◦C to 55◦C. 5. Transfer into storage vessel and set temperature at 50◦C. 6. Fill 900 mg in a suppository mold.
Diclofenac Sodium Suppositories (3),1. Load items 2 to 4 in the fat-melting vessel and heat to 55◦C. 2. Transfer to a mixing vessel through filter sieves. Set the temperature to 50◦C. 3. Add items 1 and 5 to step 2.Mix at 10 rpm and homogenize at speed I for 15 minutes at 0.6 bar vacuum. 4. Cool down to 50◦C to 55◦C. 5. Transfer into storage vessel and set temperature at 50◦C. 6. Fill 1800 mg in a suppository mold.
Diclofenac Sodium Suppositories (4),1. Load items 2 to 4 in the fat-melting vessel and heat to 55◦C. 2. Transfer to a mixing vessel through filter sieves. Set the temperature to 50◦C. 3. Add items 1 and 5 to step 2.Mix at 10 rpm and homogenize at speed I for 15 minutes at 0.6 bar vacuum. 4. Cool down to 50◦C to 55◦C. 5. Transfer into storage vessel and set temperature at 50◦C. 6. Fill 1800 mg in a suppository mold.
Dichlorobenzyl Alcohol Tooth Gel,1. Disperse item 2 in item 3 heated to 70◦C. 2. Cool and add item and mix well. 3. Cool to 40◦C and fill.
Diethylamine Salicylate Cream,"1. Charge, one by one, items 1 to 4 to a melting vessel at 79◦C to 75◦C. Hold molten fat at 70◦C with continuous stirring at low speed. 2. In a separate vessel, heat 90% of item 5 to 90◦C, add, and dissolve parabens by stirring. Cool to 65◦C to 70◦C. 3. In a separate vessel, take the balance of item 5 and sodium hydroxide pellets and sodium phosphate monobasic and dissolve. 4. Transfer step 3 to the paraben solution and mix for 5 to 10 minutes at slow speed and at 65◦C to 70◦C. 5. Cool to 25◦C. Check and adjust pH 6.8 to 7.2. Add items 8 to 10 and mix to dissolve at 50◦C. 6. Filter solution through polyester cloth and keep aside at 50◦C. 7. Set Becomix temperature to 70◦C, 10 rpm, and vacuum 0.6 bar. 8. Transfer molten fat at 70◦C after passing through a stainless steel filter to step above while mixing. 9. Homogenize at slow speed for 10 minutes. Temperature 65◦C to 70◦C. 10. Set Becomix to 50◦C and transfer diethylamine salicylate solution to the cream at 50◦C while stirring. 11. Continue mixing and add chlorbutol, menthol, lavender oil, and glycerin at 40◦C. (Menthol and chlorbutol first dissolve in a separate container.) 12. Homogenize for 10 minutes under vacuum. 13. Cool to 25◦C, transfer to storage vessel, fill."
Enzyme Extract Ointment,X
Erythromycin and Neomycin Ointment,1. Heat petrolatum and mineral oil in a steam kettle to 115◦C and maintain temperature for at least 3 hours. 2. Strain into mixing tank and cool to 40◦C to 45◦C. 3. Reserve portion of petrolatum–oil mixture for step 5. 4. Mix erythromycin and neomycin with 95 g of base and stir until thoroughly dispersed. 5. Run through a 200-mesh (74-m aperture) screen on Homoloid mill directly into main portion of petrolatum–oil mixture. 6. Rinse mill with reserved petrolatum–oil mixture from step 3. 7. Mix 2 hours before cooling. Cool slowly to avoid condensation. 8. Fill into suitable approved containers.
Erythromycin Gel,"1. Heat solution of items 1 to 3 to approximately 70◦C. 2. Dissolve item 4, mix with item 5, and cool when the air bubbles escape."
Erythromycin Ointment,1. Heat petrolatum and mineral oil in a steam kettle to 115◦C and maintain temperature for at least 3 hours. 2. Strain into mixing tank and cool to 40◦C to 45◦C. 3. Reserve portion of petrolatum–oil mixture for step 6. 4. Mix erythromycin with 78 g of base and stir until thoroughly dispersed. 5. Run through a 200-mesh (74-m aperture) screen on Homoloid mill directly into main portion of petrolatum–oil mixture. 6. Rinse mill with reserved petrolatum–oil mixture from step 3. 7. Mix 2 hours before cooling. Cool slowly to avoid condensation. 8. Fill into suitable approved containers.
Erythromycin Ointment (2),1. Blend items 1 to 4 in a high-shear mixer. 2. Add balance ingredients and mix well. 3. Fill.
Estradiol Vaginal Cream,"1. A nonaqueous phase premix is prepared by thoroughly mixing stearyl alcohol (700 g), glyceryl monostearate, non– self-emulsifying (400 g), white ceresin wax 160 (160 signifies the approximate melting point in degrees Fahrenheit, 700 g), and monotertiary butylhydroquinone (2 g) while heating to 75◦C. 2. Mixing with heating is continued until all solids are dissolved and then 17-beta-estradiol (1 g dry weight) is added. The mixing is then continued until this phase is in the form of a clear solution, at which point it is held at 75◦C for later use. 3. Propylene glycol (1000 g) and methyl paraben (15 g) are mixed together until all solids are dissolved. Hydroxypropylmethylcellulose 4000 CPS (CPS refers to centipoise, a designation of viscosity, 30 g) is added to and dispersed in the propylene glycol solution and this resulting mixture is then added to an aqueous solution of disodium edetate (5 g) and sodium lauryl sulfate (30 g) in 7117 g purified water. This mixture is heated and held at 75◦C while being stirred to facilitate the formation of an oil-in-water emulsion. 4. The hot nonaqueous phase premix, prepared earlier, is then added to this hot aqueous phase slowly while mixing with an appropriate mixer. If the equipment used permits moisture loss, water may be added during this step to compensate for the loss. 5. The resultant hot emulsion is allowed to cool to 60◦C, at which point it is thoroughly homogenized using a recirculating homogenizer, homomixer, or other suitable equipment to provide a particle size reduction to a range of 5 to 20 m for most particles. 6. The fluid emulsion, still at 60◦C, is passed through a No. 100 to No. 200 stainless steel or nylon screen into a vessel equipped for slow stirring. 7. The emulsion is then cooled under vacuum while using slow sweep stirring until the temperature reaches 25◦C."
Ethylenediamine Tetracetate Ointment,"1. Water phase: a. Charge purified water, polysorbate 60, and glycerin with agitation in a melting kettle. b. Heat the contents to 61◦C to 65◦C. c. Add methyl paraben and mix the composition to dissolve while maintaining temperature. 2. Oil phase: a. In a suitable vessel, charge liquid paraffin, cetostearyl alcohol, white petrolatum, glycerol monostearate, and white beeswax and mix continuously while heating to 71◦C to 75◦C. 3. Mixing of phases: a. The mixture of step 2 is transferred to the step 1 kettle, with the water phase maintained at less than 300 mbar vacuum. b. Add EDTA and dissolve. c. With mixing and keeping the temperature at 61◦C to 65◦C, draw the oil phase into the water phase. d. Mix for 15 minutes with agitation and vacuum at 300 mbar and 61◦C to 65◦C. e. While mixing and under vacuum, allow the mixture to cool gradually to room temperature. 4. Fill in appropriate container."
Fluocinonide Cream,"1. Fluocinonide (50 mg) is dissolved in crotamiton (7 g) with warming and thereto is added liquid paraffin (10 g), propylene glycol (10 g), polyoxyethylene lauryl ether (1 g), a 4% aqueous solution of carboxyvinyl polymer (20 g), purified water (47 g), and a 1% aqueous solution of disodium edetate (1.2 g). 2. The mixture is heated until approximately 70◦C to 80◦C and then a 2% aqueous solution of triethanolamine (4.68 g) is added to it with stirring and further purified water is then added until the amount becomes 100 g. 3. The mixture is stirred well and then cooled to give a creamy preparation having a viscosity of 65,000 centipoises and a pH of 4.47."
Flurandrenolide Topical Film,"1. Add and dissolve flurandrenolide in propylene glycol, glycerin, and ethyl alcohol. 2. Dissolve all the remaining items (including some water) separately and add to step 1. 3. Mix thoroughly and make up the volume. 4. The formulation is spread manually or with an applicator. On evaporation of the solvents including water more than a period of 20 to 30 minutes, a continuous medicated adherent film of approximately 0.05- to 0.15-mm (average 0.08 mm) thickness is formed. After 18 to 24 hours or another desirable time span, the film is removed with water or is peeled."
Fluticasone Propionate Ointment,"1. Melt microcrystalline wax, hard paraffin, and sorbitan sesquioleate in a fat-melting vessel at 70◦C to 75◦C while mixing. Add liquid paraffin and mix well. 2. Transfer the mixture in step 1 to the manufacturing vessel through stainless steel filter. Mix and homogenize for 10 minutes under vacuum at 0.5 bar. Cool the mixture to 40◦C to 45◦C. 3. Disperse fluticasone propionate in propylene glycol, mix, and homogenize at a temperature of 40◦C to 45◦C. 4. Transfer the drug mixture from step 3 into the manufacturing vessel from step 2 while mixing.Mix and homogenize for 10 minutes under vacuum at 0.5 bar to obtain uniform homogeneous ointment to contain label amount of fluticasone propionate per gram. 5. Cool to a temperature of 25◦C to 30◦C with continuous stirring. 6. Fill the ointment into the tube."
Fluticasone Propionate Cream,"1. Melt cetostearyl alcohol and cetomacrogol 1000 in a fatmelting vessel at 70◦C. Add liquid paraffin and isopropyl myristate and mix well. Hold the temperature between 60◦C and 70◦C. 2. Add purified water to the manufacturing vessel and heat to 70◦C to 80◦C. 3. Dissolve dibasic sodium phosphate, citric acid, and imidurea in purified water. Hold the temperature between 60◦C and70◦ C. 4. Transfer the fat phase of step 1 through a stainless steel filter to the manufacturing vessel while stirring at a temperature of 60◦C to 70◦C. Mix and homogenize for 10 minutes under vacuum at 0.5 bar. Cool the mixture to 40◦C to 45◦C. 5. Disperse fluticasone propionate in propylene glycol at a temperature of 40◦C to 45◦C. 6. Transfer the drug mixture of step 5 into step 4 to the manufacturing vessel while mixing. Mix and homogenize for 10 minutes under vacuum at 0.5 bar to obtain a uniform homogenous cream to contain labeled amount of drug per gram. 7. Cool the cream to a temperature of 25◦C to 30◦ C with continuous stirring. 8. Transfer into stainless steel storage container with product identification label."
Foscarnet Cream,X
Gamma Benzene Hexachloride Lotion,"1. Heat items 2, 4, and 5 to 95◦C and pass through a stainless steel sieve. 2. Heat water to 65◦C and add to step 1. 3. Dissolve item 1 in item 3 with stirring and add to step 2 at 35◦C. 4. Adjust pH to 7.5 to 8.0 if necessary and mix for 2 hours."
